Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Start Coord	End Coord	Scaffold ID	COG	Pfam	
3300032356 assembled Ga0308414_100016816	Ga0308414_100016816	7-cyano-7-deazaguanine synthase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	19628	20323	Ga0308414_1000168	COG0603===7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	pfam06508===Queuosine biosynthesis protein QueC	
3300032356 assembled Ga0308414_100122313	Ga0308414_100122313	8-amino-7-oxononanoate synthase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	14520	15668	Ga0308414_1001223	COG0156===7-keto-8-aminopelargonate synthetase or related enzyme	pfam00155===Aminotransferase class I and II	
3300035990 assembled Ga0393409_096_1_429	null	ABC-2 type transport system permease protein	3300035990	Sorted cell/s from microbial mat in Octopus Spring, Yellowstone National Park, Wyoming, United States - Uncultured microbe JGI_YuBhay.Octo05.RedA.02.E6 (*) (MER-FS) (assembled)	6	1	429	Ga0393409_096	COG4587===ABC-type uncharacterized transport system, permease component		
3300032356 assembled Ga0308414_100018510	Ga0308414_100018510	ABC-type microcin C transport system duplicated ATPase subunit YejF	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	14607	16115	Ga0308414_1000185	COG4172===ABC-type microcin C transport system, duplicated ATPase component YejF	pfam00005===ABC transporter	
3300032356 assembled Ga0308414_100017918	Ga0308414_100017918	ABC-type transport system substrate-binding protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	21269	23341	Ga0308414_1000179	COG0747===ABC-type transport system, periplasmic component	pfam00496===Bacterial extracellular solute-binding proteins, family 5 Middle	
3300032356 assembled Ga0308414_10004313	Ga0308414_10004313	ABC-type uncharacterized transport system involved in gliding motility auxiliary subunit	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	2367	3884	Ga0308414_1000431	COG3225===ABC-type uncharacterized transport system involved in gliding motility, auxiliary component	pfam09822===ABC-type uncharacterized transport system	
3300032356 assembled Ga0308414_10006543	Ga0308414_10006543	acetyl-CoA C-acetyltransferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	1983	3167	Ga0308414_1000654	COG0183===Acetyl-CoA acetyltransferase	pfam02803===Thiolase, C-terminal domain	
3300032356 assembled Ga0308414_10031265	Ga0308414_10031265	acetyltransferase-like isoleucine patch superfamily enzyme	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	4839	5501	Ga0308414_1003126	COG0110===Acetyltransferase (isoleucine patch superfamily)	pfam00132===Bacterial transferase hexapeptide (six repeats)	
3300032356 assembled Ga0308414_10046515	Ga0308414_10046515	acyl-CoA hydrolase/RimJ/RimL family protein N-acetyltransferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	4686	6602	Ga0308414_1004651	COG1670===Protein N-acetyltransferase, RimJ/RimL family	pfam13336===Acetyl-CoA hydrolase/transferase C-terminal domain	
3300035976 assembled Ga0393395_54_1342_2190	null	adenine-specific DNA-methyltransferase	3300035976	Sorted cell/s from microbial mat in Octopus Spring, Yellowstone National Park, Wyoming, United States - Uncultured microbe JGI_YuBhay.Octo05.RedA.02.D17 (*) (MER-FS) (assembled)	6	1342	2190	Ga0393395_54		pfam01555===DNA methylase	
3300032356 assembled Ga0308414_10006978	Ga0308414_10006978	alkylation response protein AidB-like acyl-CoA dehydrogenase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	9959	12181	Ga0308414_1000697	COG1960===Acyl-CoA dehydrogenase related to the alkylation response protein AidB	pfam02771===Acyl-CoA dehydrogenase, N-terminal domain	
3300032356 assembled Ga0308414_10018072	Ga0308414_10018072	amidohydrolase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	1014	2216	Ga0308414_1001807	COG1473===Metal-dependent amidase/aminoacylase/carboxypeptidase	pfam01546===Peptidase family M20/M25/M40	
3300032356 assembled Ga0308414_100010544	Ga0308414_100010544	aminobenzoyl-glutamate transport protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	46819	48339	Ga0308414_1000105	COG2978===p-Aminobenzoyl-glutamate transporter AbgT	pfam03806===AbgT putative transporter family	
3300032356 assembled Ga0308414_100000822	Ga0308414_100000822	anionic cell wall polymer biosynthesis LytR-Cps2A-Psr (LCP) family protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	19714	20943	Ga0308414_1000008	COG1316===Anionic cell wall polymer biosynthesis enzyme,  LytR-Cps2A-Psr (LCP) family	pfam13399===LytR cell envelope-related transcriptional attenuator	
3300032356 assembled Ga0308414_100004059	Ga0308414_100004059	anti-anti-sigma regulatory factor/PAS domain-containing protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	73657	74814	Ga0308414_1000040	COG2202===PAS domain	pfam13426===PAS domain	
3300032356 assembled Ga0308414_100036722	Ga0308414_100036722	anti-sigma regulatory factor (Ser/Thr protein kinase)	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	25731	26255	Ga0308414_1000367	COG2172===Anti-sigma regulatory factor (Ser/Thr protein kinase)	pfam13581===Histidine kinase-like ATPase domain	
3300032356 assembled Ga0308414_100003212	Ga0308414_100003212	anti-sigma-K factor rskA	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	14670	15587	Ga0308414_1000032		pfam10099===Anti-sigma-K factor rskA	
3300032356 assembled Ga0308414_100326514	Ga0308414_100326514	antirestriction protein ArdC	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	9755	10330	Ga0308414_1003265	COG4227===Antirestriction protein ArdC		
3300032356 assembled Ga0308414_10031088	Ga0308414_10031088	antitoxin (DNA-binding transcriptional repressor) of toxin-antitoxin stability system	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	9538	9813	Ga0308414_1003108	COG4118===Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor	pfam02604===Antitoxin Phd_YefM, type II toxin-antitoxin system	
3300032356 assembled Ga0308414_100110512	Ga0308414_100110512	antitoxin (DNA-binding transcriptional repressor) of toxin-antitoxin stability system	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	8171	8416	Ga0308414_1001105	COG4118===Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor	pfam02604===Antitoxin Phd_YefM, type II toxin-antitoxin system	
3300032356 assembled Ga0308414_100010423	Ga0308414_100010423	antitoxin component YwqK of YwqJK toxin-antitoxin module/antitoxin component YwqK of YwqJK toxin-antitoxin module/antitoxin component YwqK of YwqJK toxin-antitoxin module/antitoxin component YwqK of YwqJK toxin-antitoxin module/antitoxin component YwqK of YwqJK toxin-antitoxin module/antitoxin component YwqK of YwqJK toxin-antitoxin module	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	20700	23444	Ga0308414_1000104	COG2849===Antitoxin component YwqK of the YwqJK toxin-antitoxin module	pfam07661===MORN repeat variant	
3300032356 assembled Ga0308414_100070619	Ga0308414_100070619	antitoxin MazE	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	18978	19217	Ga0308414_1000706	COG2336===Antitoxin component of the MazEF toxin-antitoxin module	pfam04014===Antidote-toxin recognition MazE, bacterial antitoxin	
3300032356 assembled Ga0308414_100000247	Ga0308414_100000247	antitoxin Phd_YefM of type II toxin-antitoxin system	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	48554	49018	Ga0308414_1000002		pfam02604===Antitoxin Phd_YefM, type II toxin-antitoxin system	
3300032356 assembled Ga0308414_10051944	Ga0308414_10051944	antitoxin VapB	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	1538	1768	Ga0308414_1005194	COG4456===Virulence-associated protein VagC (function unknown)	pfam04014===Antidote-toxin recognition MazE, bacterial antitoxin	
3300032356 assembled Ga0308414_100011716	Ga0308414_100011716	argininosuccinate lyase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	20066	21496	Ga0308414_1000117	COG0165===Argininosuccinate lyase	pfam14698===Argininosuccinate lyase C-terminal	
3300032356 assembled Ga0308414_100052726	Ga0308414_100052726	arginyl-tRNA synthetase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	18847	20697	Ga0308414_1000527	COG0018===Arginyl-tRNA synthetase	pfam05746===DALR anticodon binding domain	
3300032356 assembled Ga0308414_10002492	Ga0308414_10002492	ArsR family transcriptional regulator	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	1297	1626	Ga0308414_1000249	COG0640===DNA-binding transcriptional regulator, ArsR family	pfam01022===Bacterial regulatory protein, arsR family	
3300032356 assembled Ga0308414_1000002110	Ga0308414_1000002110	asparaginyl-tRNA synthetase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	119523	120845	Ga0308414_1000002	COG0017===Aspartyl/asparaginyl-tRNA synthetase	pfam01336===OB-fold nucleic acid binding domain	
3300032356 assembled Ga0308414_10039767	Ga0308414_10039767	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	3940	5379	Ga0308414_1003976	COG2511===Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain	pfam02934===GatB/GatE catalytic domain	
3300032356 assembled Ga0308414_100177911	Ga0308414_100177911	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	10236	10553	Ga0308414_1001779	COG0721===Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	pfam02686===Glu-tRNAGln amidotransferase C subunit	
3300032356 assembled Ga0308414_10000768	Ga0308414_10000768	ATP-binding cassette subfamily B protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	7828	9147	Ga0308414_1000076	COG1132===ABC-type multidrug transport system, ATPase and permease component	pfam00664===ABC transporter transmembrane region	
3300032356 assembled Ga0308414_10008575	Ga0308414_10008575	ATP-dependent Clp protease ATP-binding subunit ClpB	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	2472	5054	Ga0308414_1000857	COG1220===ATP-dependent protease HslVU (ClpYQ), ATPase subunit	pfam10431===C-terminal, D2-small domain, of ClpB protein 	
3300032356 assembled Ga0308414_10021741	Ga0308414_10021741	ATP-dependent DNA helicase DinG	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	1	1569	Ga0308414_1002174	COG1199===Rad3-related DNA helicase	pfam00270===DEAD/DEAH box helicase	
3300032356 assembled Ga0308414_1000003163	Ga0308414_1000003163	beta-galactosidase-like protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	188730	191288	Ga0308414_1000003		pfam08532===Beta-galactosidase trimerisation domain	
3300032356 assembled Ga0308414_10038166	Ga0308414_10038166	beta-galactosidase-like protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	4823	6790	Ga0308414_1003816		pfam08532===Beta-galactosidase trimerisation domain	
3300032356 assembled Ga0308414_10046607	Ga0308414_10046607	beta-galactosidase-like protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	6262	8454	Ga0308414_1004660		pfam02449===Beta-galactosidase	
3300032356 assembled Ga0308414_10043531	Ga0308414_10043531	beta-propeller uncharacterized protein DUF5122	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	481	1839	Ga0308414_1004353		pfam17164===Domain of unknown function (DUF5122) beta-propeller	
3300032356 assembled Ga0308414_10000527	Ga0308414_10000527	bifunctional DNA-binding transcriptional regulator/antitoxin component of YhaV-PrlF toxin-antitoxin module	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	3248	3532	Ga0308414_1000052	COG2002===Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module		
3300032356 assembled Ga0308414_100028425	Ga0308414_100028425	bifunctional DNA-binding transcriptional regulator/antitoxin component of YhaV-PrlF toxin-antitoxin module	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	30671	30901	Ga0308414_1000284	COG2002===Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module	pfam15937===prlF antitoxin for toxin YhaV_toxin	
3300032356 assembled Ga0308414_10001407	Ga0308414_10001407	bifunctional DNA-binding transcriptional regulator/antitoxin component of YhaV-PrlF toxin-antitoxin module	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	5565	5831	Ga0308414_1000140	COG2002===Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module	pfam04014===Antidote-toxin recognition MazE, bacterial antitoxin	
3300032356 assembled Ga0308414_100002642	Ga0308414_100002642	bleomycin hydrolase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	42737	43960	Ga0308414_1000026	COG3579===Aminopeptidase C	pfam03051===Peptidase C1-like family	
3300032356 assembled Ga0308414_100003514	Ga0308414_100003514	Ca-activated chloride channel family protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	16092	17132	Ga0308414_1000035	COG1240===Mg-chelatase subunit ChlD	pfam07584===Aerotolerance regulator N-terminal	
3300032356 assembled Ga0308414_100010712	Ga0308414_100010712	carboxyl-terminal processing protease	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	14990	17179	Ga0308414_1000107	COG0793===C-terminal processing protease CtpA/Prc, contains a PDZ domain	pfam03572===Peptidase family S41	
3300032356 assembled Ga0308414_10159737	Ga0308414_10159737	carboxypeptidase family protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	3222	3467	Ga0308414_1015973		pfam13620===Carboxypeptidase regulatory-like domain	
3300032356 assembled Ga0308414_100002516	Ga0308414_100002516	cation:H+ antiporter	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	18490	19446	Ga0308414_1000025	COG0530===Ca2+/Na+ antiporter	pfam01699===Sodium/calcium exchanger protein	
3300032356 assembled Ga0308414_100065312	Ga0308414_100065312	CDP-glycerol glycerophosphotransferase (TagB/SpsB family)	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	10817	11854	Ga0308414_1000653	COG1887===CDP-glycerol glycerophosphotransferase, TagB/SpsB family	pfam04464===CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase 	
3300032356 assembled Ga0308414_100031525	Ga0308414_100031525	cell division protein ZapA (FtsZ GTPase activity inhibitor)	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	20916	21215	Ga0308414_1000315	COG3027===Cell division protein ZapA, inhibits GTPase activity of FtsZ	pfam05164===Cell division protein ZapA	
3300032356 assembled Ga0308414_100128614	Ga0308414_100128614	chemotaxis protein MotB	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	16102	16350	Ga0308414_1001286	COG1360===Flagellar motor protein MotB	pfam13677===Membrane MotB of proton-channel complex MotA/MotB 	
3300032356 assembled Ga0308414_10002329	Ga0308414_10002329	chromosome segregation ATPase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	8	7002	10466	Ga0308414_1000232	COG1196===Chromosome segregation ATPase		
3300032356 assembled Ga0308414_100113214	Ga0308414_100113214	class 3 adenylate cyclase/HD superfamily phosphodiesterase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	9	12060	13433	Ga0308414_1001132	COG2114===Adenylate cyclase, class 3	pfam01966===HD domain	
3300032356 assembled Ga0308414_10043772	Ga0308414_10043772	CNT family concentrative nucleoside transporter	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	145	1557	Ga0308414_1004377	COG1972===Nucleoside permease NupC	pfam07662===Na+ dependent nucleoside transporter C-terminus	
3300032356 assembled Ga0308414_100010429	Ga0308414_100010429	colicin import membrane protein	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	7	27991	28902	Ga0308414_1000104	COG0810===Periplasmic protein TonB, links inner and outer membranes	pfam03544===Gram-negative bacterial TonB protein C-terminal	
3300032356 assembled Ga0308414_100001464	Ga0308414_100001464	CopG family nickel-responsive transcriptional regulator	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	6	85381	85800	Ga0308414_1000014	COG0864===Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain	pfam08753===NikR C terminal nickel binding domain	
3300035976 assembled Ga0393395_01_32409_33143	null	CRISPR-associated protein (TIGR03985 family)	3300035976	Sorted cell/s from microbial mat in Octopus Spring, Yellowstone National Park, Wyoming, United States - Uncultured microbe JGI_YuBhay.Octo05.RedA.02.D17 (*) (MER-FS) (assembled)	6	32409	33143	Ga0393395_01	COG2378===Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains	pfam13280===WYL domain
3300032356 assembled Ga0308414_10166601	Ga0308414_10166601	crotonobetainyl-CoA:carnitine CoA-transferase CaiB-like acyl-CoA transferase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	416	1546	Ga0308414_1016660	COG1804===Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	pfam02515===CoA-transferase family III	
3300032356 assembled Ga0308414_10058225	Ga0308414_10058225	cysteinyl-tRNA synthetase	3300032356	Hot spring phototrophic mat microbial communities from Octopus Spring, Yellowstone National Park, Wyoming, United States - 20090730_OS50 (*) (MER-FS) (assembled)	10	5115	6557	Ga0308414_1005822	COG0215===Cysteinyl-tRNA synthetase	pfam09190===DALR domain	
